snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_1_S76,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_26,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,MD_6_A10,MD_6_A11,MD_6_A12,MD_6_A8,MD_6_A9,MD_6_B10,MD_6_B11,MD_6_B12,MD_6_B8,MD_6_B9,MD_6_C10,MD_6_C11,MD_6_C12,MD_6_C8,MD_6_C9,MD_6_D10,MD_6_D11,MD_6_D12,MD_6_D8,MD_6_D9,MD_6_E10,MD_6_E11,MD_6_E12,MD_6_E8,MD_6_E9,MD_6_F10,MD_6_F11,MD_6_F12,MD_6_F8,MD_6_F9,MD_6_G10,MD_6_G11,MD_6_G8,MD_6_G9,MD_6_H10,MD_6_H11,MD_6_H7,MD_6_H8,MD_6_H9,MD_7_A1,MD_7_A2,MD_7_A3,MD_7_B1,MD_7_B2,MD_7_C1,MD_7_C2,MD_7_D1,MD_7_D2,MD_7_E1,MD_7_E2,MD_7_F1,MD_7_F2,MD_7_G1,MD_7_G2,MD_7_H1,MD_7_H2,SG19_084_Sal,SG19_116_05_E_coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_C11,W_1_D11,W_1_E11,W_1_F11,W_1_G11,W_1_H11
MD_7_A2,33397,385,28559,28559,27879,28155,383,28545,378,27067,27945,402,40095,28553,29985,27556,40010,6,374,356,33194,33396,28556,426,60,33185,294,27527,386,28153,26517,27865,356,15052,33,29990,287,28560,29933,29972,58,39945,15061,33313,26806,33195,33294,33313,58,67,33185,33308,28558,40017,27947,381,40028,28541,27932,27928,23376,28404,403,27509,28407,40043,4,27727,3,2,55,2,4,54,2,56,296,53,15059,40054,56,3,33276,54,40044,35337,55,28405,15038,27733,54,35205,28400,26884,33180,2,39726,2,3,32963,4,15056,35351,27944,3,0,33292,33340,54,55,3,28404,54,2,35350,6,33278,33294,29983,15044,28407,28403,28965,28949,158,27640,28967,36,39845,29926,28414,33296,33257,33385,28969,376,33301,376,25760,29975,296,15065,410,65,28110,39943,27555,27555,33292,33957,28143,28113,6,32,39773,298,355,32824,27992,28156,375,26680,40317,417,28156,28159,8751,28186,403,28408,28560,416,416,510,510,511,40056,30459,30456,512,511,511,511,510,510,510,511,511,512,511,425,426,28368,28366,30368,26950,33327,26948,33319,26891,33185
MD_7_A3,29850,33251,32632,32639,33457,32945,33255,32614,33247,33402,33542,33184,37725,32628,31585,33379,37602,33289,33236,33216,29804,29853,32641,33273,33301,29797,33293,33333,33246,32937,33136,33236,33180,33220,33290,31596,32728,32625,31607,31544,33293,37495,33232,28840,33081,29802,28824,28845,33298,33310,29797,28835,32633,37558,33540,33249,37621,32620,33217,33203,28412,32314,33228,33331,32327,37531,33292,33427,33287,33293,33279,33291,33299,33283,33299,33275,33319,33271,33224,37644,33286,33296,1,33287,37630,36825,33280,32320,33217,33431,33282,36694,32321,33144,29797,33291,37337,33281,33288,29384,33299,33227,36847,33541,33288,33292,0,29797,33275,33278,33292,32314,33283,33254,36836,33296,6,5,31594,33232,32327,32313,34078,34052,33299,33231,34064,32843,37305,31599,32324,28525,28823,29838,34071,33243,28534,33241,30428,31584,33308,33231,33224,33294,32880,37494,33385,33383,28822,29164,32932,32895,33296,33303,37804,33311,33218,28348,33584,32945,33239,33154,37796,33239,32940,32942,33497,32966,33225,32318,32636,33241,33242,33541,33534,33534,37613,33949,33960,33539,33535,33534,33541,33535,33539,33534,33542,33526,33523,33538,33434,33435,32899,32893,33958,33346,28855,33342,28846,33159,29792
MD_7_B1,43,33305,33328,33334,34203,33167,33304,33312,33294,33858,34275,33259,36909,33325,32170,33959,36585,33340,33288,33269,31181,48,33325,33313,33350,31178,33340,33911,33293,33166,33695,33758,33239,33671,33342,32187,32787,33321,32184,32164,33340,36752,33683,30320,33826,31182,30331,30330,33341,33353,31179,30337,33325,36782,34277,33302,36611,33309,33732,33722,28695,33203,33274,33911,33215,36962,33339,34183,33340,33343,33334,33343,33350,33337,33350,33331,33360,33328,33672,36624,33339,33341,29797,33338,36606,37076,33332,33206,33669,34191,33331,36950,33207,33409,31177,33340,36660,33337,33334,30714,33348,33677,37093,34274,33337,33340,29797,0,33329,33329,33339,33203,33332,33306,37091,33349,29802,29799,32182,33686,33213,33204,34591,34576,33338,34037,34585,32867,36629,32172,33216,27935,30362,20,34588,33289,27936,33290,30638,32167,33340,33683,33274,33345,33105,36758,33972,33959,30326,28285,33158,33128,33344,33355,36975,33343,33265,29738,34304,33167,33290,33650,37199,33289,33173,33164,33634,33194,33272,33201,33331,33286,33286,33574,33567,33568,36580,33915,33912,33573,33570,33574,33574,33572,33575,33569,33574,33570,33572,33572,33475,33476,33083,33082,34566,33633,30336,33631,30348,33427,31176
MD_7_B2,33384,388,28554,28554,27874,28139,386,28540,381,27056,27947,405,40101,28548,29980,27551,40021,56,377,359,33193,33384,28548,428,64,33185,298,27520,389,28138,26504,27864,359,15049,57,29984,291,28554,29925,29966,62,39959,15059,33309,26797,33195,33290,33308,62,71,33185,33300,28552,40030,27949,384,40039,28547,27920,27916,23365,28394,406,27503,28395,40045,54,27711,53,52,1,52,54,0,52,2,300,1,15057,40064,2,53,33265,0,40054,35333,1,28392,15035,27717,0,35201,28388,26869,33180,52,39735,52,53,32962,54,15054,35345,27945,53,54,33275,33329,0,1,53,28394,0,52,35343,56,33264,33277,29976,15042,28395,28390,28958,28941,162,27639,28957,86,39850,29921,28402,33290,33254,33373,28959,379,33295,379,25751,29968,300,15062,413,69,28094,39957,27551,27550,33285,33951,28127,28101,56,58,39781,302,358,32825,27985,28137,378,26672,40323,420,28141,28144,8753,28172,406,28397,28554,419,419,514,515,516,40067,30460,30456,517,516,516,515,515,515,515,515,515,517,515,430,431,28361,28361,30373,26941,33320,26939,33314,26878,33184
MD_7_C1,33387,389,28559,28556,27879,28146,387,28545,383,27056,27948,407,40109,28551,29984,27552,40024,57,379,361,33192,33386,28552,429,65,33182,300,27522,390,28143,26502,27866,361,15057,58,29989,293,28559,29932,29971,63,39976,15067,33312,26798,33193,33290,33311,63,72,33182,33301,28556,40035,27956,387,40042,28545,27924,27921,23361,28391,407,27503,28391,40055,55,27712,54,53,2,53,55,1,53,3,302,2,15064,40079,3,54,33267,1,40068,35339,2,28389,15044,27717,1,35204,28384,26868,33177,53,39742,53,54,32961,55,15062,35349,27945,54,55,33278,33329,1,0,54,28391,1,53,35349,57,33266,33280,29980,15049,28391,28390,28959,28943,164,27644,28963,87,39855,29926,28401,33289,33257,33374,28964,380,33297,381,25756,29972,301,15071,414,70,28099,39975,27550,27546,33285,33957,28131,28106,57,59,39790,304,359,32822,27988,28141,380,26678,40331,421,28145,28148,8753,28174,407,28395,28557,420,420,515,516,517,40070,30463,30459,518,517,519,518,516,518,518,518,518,520,518,433,434,28363,28364,30381,26947,33323,26945,33317,26876,33182
MD_7_C2,33395,384,28560,28561,27879,28152,383,28542,377,27067,27943,401,40094,28553,29985,27557,40009,5,373,355,33194,33393,28558,425,59,33184,293,27527,385,28156,26517,27866,355,15053,32,29991,286,28560,29931,29972,57,39959,15059,33313,26807,33197,33299,33313,57,66,33185,33310,28561,40016,27945,381,40030,28541,27946,27942,23377,28401,402,27511,28413,40045,3,27734,2,1,54,1,3,53,1,55,295,52,15060,40054,55,2,33281,53,40048,35340,54,28408,15037,27741,53,35211,28406,26886,33179,1,39726,1,2,32962,3,15056,35360,27945,0,3,33292,33339,53,54,0,28400,53,1,35353,3,33283,33296,29990,15044,28412,28399,28978,28949,157,27639,28966,35,39843,29925,28409,33296,33255,33383,28971,375,33299,375,25761,29981,295,15064,409,64,28115,39954,27555,27559,33297,33955,28148,28117,3,31,39770,297,356,32826,27989,28159,374,26678,40315,416,28159,28159,8751,28190,403,28405,28560,415,415,509,509,510,40059,30455,30457,511,510,510,510,509,509,509,510,510,511,510,424,425,28370,28370,30370,26948,33329,26946,33317,26892,33183
MD_7_D1,33286,28356,30104,30099,30165,29621,28359,30090,28347,29258,30222,28313,39320,30106,28790,29701,38910,28403,28339,28322,32234,33283,30102,28377,28411,32229,28410,29668,28350,29615,28568,29966,28299,28738,28409,28797,27973,30093,28841,28781,28404,39297,28741,32732,28622,32232,32722,32732,28399,28415,32230,32727,30099,39108,30224,28360,38894,30085,28779,28767,25002,5,28332,29654,27,39200,28399,29485,28401,28406,28395,28401,28409,28399,28408,28391,28423,28388,28742,38956,28396,28404,32302,28400,38911,35804,28392,0,28729,29488,28394,35687,0,29391,32229,28402,39046,28397,28398,31954,28410,28742,35823,30215,28397,28404,32314,33203,28394,28391,28400,0,28396,28373,35823,28408,32305,32313,28784,28746,25,16,30141,30125,28410,29152,30140,27994,38903,28839,34,32759,32655,33274,30140,28342,32764,28345,27188,28782,28409,28746,28327,28409,29571,39299,29705,29701,32718,33135,29607,29575,28406,28413,39191,28415,28316,32383,30274,29614,28339,29039,39666,28344,29618,29622,28361,29652,28330,5,30104,28345,28346,28633,28632,28632,39044,31555,31557,28634,28633,28640,28636,28637,28643,28631,28637,28627,28638,28631,28540,28541,29090,29088,31154,28833,32745,28830,32736,29400,32224
MD_7_D2,33387,388,28556,28556,27878,28143,386,28542,381,27059,27949,405,40100,28550,29983,27554,40023,56,377,359,33197,33387,28551,428,64,33189,298,27524,389,28141,26507,27866,359,15052,57,29987,291,28557,29927,29969,62,39964,15062,33310,26801,33199,33292,33309,62,71,33189,33303,28554,40031,27952,384,40041,28549,27923,27919,23368,28396,406,27507,28398,40048,54,27715,53,52,1,52,54,0,52,2,300,1,15060,40066,2,53,33268,0,40056,35336,1,28395,15038,27721,0,35203,28390,26869,33184,52,39735,52,53,32965,54,15057,35348,27948,53,54,33283,33332,0,1,53,28396,0,52,35347,56,33270,33285,29978,15045,28398,28393,28959,28941,162,27641,28958,86,39853,29924,28405,33290,33255,33376,28960,379,33295,379,25753,29970,300,15065,413,69,28098,39962,27554,27553,33288,33951,28130,28104,56,58,39782,302,358,32828,27990,28141,378,26675,40327,420,28144,28147,8753,28174,406,28400,28555,419,419,514,514,515,40067,30462,30457,516,515,515,515,514,514,514,515,515,516,515,429,430,28363,28363,30379,26943,33324,26941,33315,26878,33188
MD_7_E1,33363,383,28539,28537,27865,28131,381,28525,376,27044,27931,400,40063,28532,29968,27533,39967,4,372,354,33158,33362,28535,424,58,33148,292,27503,384,28128,26494,27839,354,15035,31,29973,285,28539,29916,29955,56,39907,15044,33286,26775,33158,33264,33286,56,65,33148,33278,28537,39982,27936,379,39985,28514,27907,27903,23351,28373,401,27484,28374,40016,2,27702,1,0,53,0,2,52,0,54,294,51,15041,40011,54,1,33240,52,40000,35316,53,28373,15021,27707,52,35183,28368,26863,33143,0,39702,0,1,32924,2,15039,35328,27928,1,2,33254,33306,52,53,1,28373,52,0,35327,4,33242,33256,29965,15026,28375,28372,28948,28933,155,27614,28951,34,39808,29909,28383,33262,33230,33351,28953,374,33271,374,25736,29957,294,15048,408,63,28085,39906,27531,27527,33262,33930,28117,28088,4,30,39740,296,353,32792,27978,28129,373,26662,40288,415,28131,28134,8731,28160,401,28377,28539,414,414,508,508,509,40013,30433,30430,510,509,509,509,508,508,508,509,509,510,509,423,424,28349,28350,30345,26923,33299,26921,33292,26872,33148
MD_7_E2,37166,35309,35337,35335,36026,35625,35315,35320,35313,35551,36081,35277,42209,35327,35356,35384,41948,35350,35304,35283,36764,37168,35330,35328,35360,36758,35354,35335,35308,35625,35054,35276,35269,35385,35356,35373,34757,35328,35326,35356,35345,41896,35391,37197,34931,36760,37189,37200,35349,35366,36758,37193,35328,41923,36082,35317,41956,35294,35001,34984,30184,35821,35298,35337,35834,42160,35350,35290,35343,35352,35342,35349,35357,35352,35359,35343,35377,35342,35389,41965,35357,35353,36836,35353,41947,1,35351,35824,35376,35302,35351,0,35825,34984,36756,35352,41781,35344,35349,36493,35360,35386,0,36085,35349,35350,36836,37091,35343,35349,35353,35823,35347,35327,0,35356,36837,36836,35366,35397,35832,35823,35136,35115,35362,35214,35134,34854,41930,35313,35835,36990,37114,37156,35136,35306,36993,35309,32732,35352,35355,35396,35285,35362,35563,41899,35397,35381,37184,37404,35612,35591,35355,35363,41821,35360,35284,36929,36110,35629,35307,35236,42318,35308,35632,35626,35695,35637,35291,35823,35334,35305,35302,35609,35600,35601,42052,34704,34711,35607,35605,35604,35610,35605,35605,35599,35609,35605,35599,35607,35509,35510,35333,35329,34546,35338,37205,35337,37200,34981,36757
MD_7_F1,33403,387,28560,28561,27882,28160,386,28546,381,27069,27949,405,40105,28555,29989,27561,40019,8,377,359,33199,33403,28558,428,62,33190,297,27530,388,28156,26521,27872,359,15057,35,29994,290,28560,29935,29975,60,39957,15065,33319,26809,33201,33302,33319,60,69,33191,33313,28560,40025,27951,385,40037,28543,27940,27936,23375,28408,405,27514,28411,40053,6,27731,5,4,57,4,6,56,4,58,299,55,15064,40073,58,5,33287,56,40063,35347,57,28406,15041,27738,56,35214,28404,26886,33184,4,39735,4,5,32967,6,15060,35359,27948,3,6,33296,33349,56,57,3,28408,56,4,35356,0,33289,33300,29987,15049,28411,28405,28970,28953,161,27646,28969,38,39852,29930,28417,33304,33264,33392,28972,378,33309,379,25766,29979,298,15068,412,67,28113,39956,27560,27561,33300,33964,28146,28119,6,34,39784,301,358,32828,27995,28159,378,26683,40323,419,28160,28161,8754,28188,406,28411,28561,418,418,512,512,513,40067,30465,30461,514,513,515,515,512,514,514,515,515,516,515,429,430,28373,28373,30373,26953,33333,26951,33325,26895,33189
MD_7_F2,29854,33240,32623,32633,33450,32934,33245,32605,33237,33394,33536,33172,37723,32620,31581,33382,37602,33277,33224,33205,29795,29857,32635,33259,33290,29788,33283,33335,33234,32934,33130,33227,33169,33213,33281,31593,32717,32617,31602,31537,33282,37492,33223,28843,33072,29793,28817,28847,33290,33301,29788,28826,32627,37557,33531,33239,37620,32615,33212,33200,28405,32305,33219,33335,32318,37527,33283,33422,33276,33281,33269,33281,33291,33273,33289,33265,33312,33261,33216,37641,33279,33284,5,33273,37629,36826,33269,32311,33207,33423,33270,36689,32312,33144,29789,33280,37341,33271,33277,29378,33289,33218,36842,33534,33281,33278,6,29802,33264,33266,33283,32305,33270,33242,36837,33289,0,1,31590,33222,32318,32303,34070,34049,33286,33232,34058,32831,37301,31594,32314,28528,28814,29842,34066,33232,28537,33229,30426,31581,33301,33221,33216,33285,32878,37491,33388,33385,28815,29165,32927,32893,33287,33293,37801,33302,33210,28348,33577,32942,33227,33142,37791,33228,32939,32934,33489,32961,33214,32306,32629,33230,33231,33532,33522,33522,37610,33950,33960,33532,33528,33523,33531,33523,33530,33524,33532,33518,33512,33529,33424,33425,32892,32889,33961,33340,28846,33336,28837,33159,29783
MD_7_G1,29852,33250,32635,32641,33461,32948,33258,32617,33249,33405,33544,33186,37734,32630,31586,33378,37610,33291,33238,33218,29803,29855,32643,33275,33303,29796,33295,33332,33248,32940,33137,33242,33183,33223,33294,31597,32731,32628,31608,31545,33295,37495,33231,28843,33086,29801,28827,28846,33302,33314,29796,28836,32635,37567,33544,33252,37627,32622,33218,33204,28413,32313,33230,33330,32326,37539,33296,33428,33286,33295,33278,33293,33303,33287,33303,33274,33323,33270,33226,37650,33290,33298,4,33289,37636,36825,33283,32319,33219,33429,33284,36694,32320,33151,29796,33294,37338,33280,33291,29383,33303,33229,36847,33541,33292,33294,5,29799,33277,33280,33296,32313,33285,33256,36836,33300,1,0,31592,33234,32326,32312,34076,34054,33298,33231,34066,32845,37312,31600,32323,28526,28824,29840,34073,33245,28535,33243,30435,31585,33312,33233,33226,33298,32883,37494,33386,33382,28825,29166,32935,32898,33300,33305,37810,33315,33221,28351,33586,32948,33241,33153,37803,33241,32943,32945,33500,32969,33228,32317,32636,33243,33241,33545,33536,33536,37620,33953,33964,33543,33539,33536,33545,33537,33543,33536,33546,33530,33522,33540,33438,33439,32899,32896,33958,33347,28856,33343,28847,33160,29791
MD_7_G2,32262,29951,30261,30258,30043,29362,29955,30244,29946,29692,30111,29900,39085,30258,22,29813,38887,29982,29939,29917,31118,32260,30263,29962,29993,31115,30004,29769,29946,29364,29107,29806,29897,29874,29986,22,29480,30248,430,15,29983,39012,29880,31719,29544,31121,31719,31724,29994,30006,31117,31720,30259,38958,30107,29954,38902,30244,30038,30031,25114,28783,29920,29773,28802,38890,29989,29788,29978,29983,29980,29982,29991,29981,29984,29980,30011,29980,29885,38936,29985,29981,31585,29979,38914,35354,29982,28791,29867,29793,29978,35198,28792,29454,31115,29984,38757,29982,29984,30785,29986,29878,35370,30106,29989,29983,31594,32182,29976,29980,29990,28784,29978,29965,35366,29987,31590,31592,0,29875,28793,28785,30437,30422,29985,30106,30433,29543,38823,436,28796,31999,31675,32251,30442,29945,32005,29945,27050,10,30009,29887,29924,29990,29318,39017,29820,29809,31717,32523,29359,29318,29991,29997,38858,30012,29923,31537,30139,29365,29941,29559,39417,29932,29373,29365,30207,29411,29920,28787,30260,29931,29931,30232,30224,30225,38975,31217,31217,30234,30232,30225,30232,30226,30226,30225,30232,30229,30226,30227,30135,30136,30036,30037,31559,28782,31738,28776,31726,29465,31115
MD_7_H1,33769,14988,28605,28606,27804,27654,14990,28586,14985,26510,27863,14953,39827,28595,29878,27762,39715,15046,14977,14960,33249,33769,28610,15033,15048,33237,15041,27725,14987,27654,25841,27884,14958,41,15033,29884,14795,28607,29856,29858,15040,39908,57,33267,26160,33249,33253,33271,15037,15050,33242,33265,28605,39696,27865,14991,39733,28579,27919,27915,23233,28747,14968,27715,28761,39951,15043,27704,15042,15044,15043,15044,15048,15045,15047,15044,15058,15043,48,39766,15047,15042,33218,15045,39753,35386,15044,28751,3,27711,15042,35254,28748,26630,33234,15040,39611,15042,15041,33135,15046,48,35396,27860,15043,15044,33232,33686,15042,15049,15044,28746,15045,15026,35397,15049,33222,33234,29875,0,28755,28746,28763,28743,15058,27431,28760,14833,39700,29849,28759,33251,33192,33755,28765,14981,33254,14982,25347,29867,15047,59,14975,15046,27605,39907,27761,27763,33251,34025,27647,27615,15048,15049,39454,15050,14959,32800,27902,27658,14979,26655,40107,14979,27660,27660,14714,27678,14967,28752,28606,14979,14979,15293,15291,15292,39773,30559,30554,15295,15294,15295,15296,15294,15296,15293,15296,15291,15291,15296,15207,15208,28011,28007,30102,26941,33282,26939,33277,26626,33235
MD_7_H2,33295,28358,30114,30113,30171,29625,28363,30097,28351,29266,30225,28314,39321,30116,28793,29708,38921,28406,28340,28323,32241,33290,30117,28378,28415,32233,28411,29678,28351,29624,28570,29960,28300,28748,28416,28800,27980,30104,28843,28783,28407,39301,28745,32744,28630,32240,32738,32742,28410,28424,32234,32740,30112,39116,30227,28362,38905,30096,28787,28774,25012,28,28337,29664,38,39206,28412,29493,28402,28409,28395,28404,28415,28401,28411,28393,28430,28390,28755,38964,28403,28409,32318,28402,38923,35811,28395,25,28736,29498,28401,35698,25,29395,32239,28409,39045,28397,28404,31963,28417,28749,35835,30227,28409,28407,32327,33213,28395,28391,28412,25,28398,28375,35832,28411,32318,32326,28793,28755,0,27,30147,30126,28411,29160,30139,27997,38908,28841,43,32761,32665,33282,30144,28350,32767,28345,27196,28789,28418,28754,28331,28414,29581,39302,29714,29711,32732,33143,29619,29588,28415,28416,39188,28426,28327,32388,30279,29624,28341,29038,39672,28344,29630,29629,28368,29664,28332,28,30114,28346,28346,28646,28636,28637,39053,31559,31564,28646,28644,28638,28648,28636,28644,28636,28648,28637,28638,28643,28539,28540,29094,29092,31157,28836,32756,28832,32749,29403,32231
SG19_084_Sal,33286,28351,30104,30101,30160,29620,28355,30091,28343,29262,30215,28311,39329,30108,28790,29698,38917,28402,28337,28319,32231,33284,30106,28374,28408,32224,28405,29666,28349,29616,28570,29960,28297,28739,28407,28798,27972,30094,28844,28781,28400,39297,28738,32732,28623,32227,32720,32732,28398,28412,32226,32726,30101,39118,30219,28355,38902,30087,28776,28763,25001,19,28331,29652,23,39212,28398,29482,28396,28404,28388,28399,28407,28397,28408,28387,28419,28385,28743,38964,28395,28402,32301,28400,38916,35805,28391,16,28729,29484,28393,35686,16,29388,32224,28401,39047,28392,28396,31948,28408,28742,35823,30214,28396,28403,32313,33204,28390,28390,28399,16,28393,28372,35823,28405,32303,32312,28785,28746,27,0,30135,30117,28404,29150,30136,27991,38912,28838,36,32761,32655,33273,30135,28341,32762,28342,27191,28783,28408,28746,28324,28407,29572,39302,29704,29699,32717,33135,29608,29575,28403,28411,39198,28414,28314,32376,30267,29615,28338,29039,39679,28341,29619,29622,28360,29652,28329,19,30103,28341,28338,28632,28629,28630,39052,31557,31558,28632,28632,28636,28635,28635,28638,28627,28635,28626,28631,28630,28539,28540,29086,29084,31149,28830,32744,28826,32736,29393,32219
SG19_116_05_E_coli,34661,28926,29927,29929,28955,29299,28928,29914,28912,29315,28982,28873,40596,29928,30436,29250,40511,28966,28914,28887,33909,34662,29933,28932,28976,33900,28970,29204,28923,29298,28782,29083,28883,28763,28971,30441,28533,29919,30353,30418,28965,40374,28771,34107,28392,33907,34100,34114,28973,28988,33903,34098,29926,40332,28992,28925,40525,29897,28518,28510,24457,30138,28893,29204,30149,40547,28972,25798,28962,28965,28957,28963,28969,28959,28966,28959,28988,28958,28772,40548,28966,28965,34065,28957,40534,35128,28959,30139,28757,25803,28959,34993,30139,28776,33900,28969,40240,28963,28970,33830,28972,28767,35144,28985,28977,28965,34078,34591,28958,28959,28978,30141,28959,28948,35136,28970,34070,34076,30437,28763,30147,30135,0,0,28974,29226,1,28580,40277,30352,30151,34057,34037,34650,5,28920,34064,28917,26924,30431,28984,28772,28893,28979,29246,40377,29255,29246,34097,34618,29290,29258,28974,28978,40287,28986,28897,33987,29026,29297,28916,28722,40543,28902,29298,29301,29221,29335,28893,30142,29923,28906,28906,29214,29203,29204,40488,30734,30744,29220,29218,29205,29212,29204,29208,29204,29212,29202,29198,29210,29119,29120,29301,29301,29507,28551,34122,28551,34110,28797,33897
SG19_116_Sal,34649,28909,29902,29908,28933,29286,28909,29897,28894,29300,28965,28858,40583,29907,30427,29235,40492,28950,28899,28869,33888,34651,29908,28914,28957,33882,28953,29185,28907,29282,28770,29064,28868,28741,28947,30432,28517,29898,30344,30404,28947,40340,28756,34091,28377,33885,34081,34099,28951,28965,33884,34081,29903,40329,28967,28907,40506,29878,28493,28485,24437,30121,28874,29185,30127,40524,28949,25783,28946,28947,28942,28945,28952,28944,28950,28943,28969,28942,28750,40534,28944,28946,34045,28940,40513,35110,28944,30121,28741,25785,28940,34970,30117,28755,33877,28949,40252,28948,28950,33809,28951,28751,35121,28962,28948,28949,34052,34576,28941,28943,28949,30125,28941,28933,35115,28953,34049,34054,30422,28743,30126,30117,0,0,28957,29207,1,28561,40265,30343,30134,34031,34022,34637,5,28901,34038,28902,26932,30417,28961,28752,28874,28956,29230,40352,29238,29227,34077,34603,29271,29240,28952,28960,40277,28964,28867,33962,29009,29280,28900,28708,40531,28886,29284,29288,29198,29315,28875,30125,29903,28888,28888,29191,29188,29189,40470,30721,30733,29191,29189,29189,29191,29188,29190,29186,29191,29181,29181,29188,29104,29105,29287,29287,29489,28557,34106,28554,34096,28781,33879
SG19_171_Sal,33393,400,28582,28582,27893,28177,398,28568,391,27085,27963,416,40107,28576,29989,27554,40024,160,389,369,33206,33394,28577,440,157,33198,308,27523,401,28172,26531,27867,369,15067,161,29993,300,28582,29936,29975,151,39967,15076,33318,26812,33205,33297,33318,150,163,33198,33306,28580,40033,27964,396,40041,28550,27945,27941,23374,28410,417,27506,28410,40057,158,27742,157,156,163,156,159,163,157,164,310,161,15072,40077,164,157,33287,162,40066,35354,163,28405,15052,27747,162,35223,28404,26884,33193,156,39751,157,157,32970,159,15070,35367,27960,157,158,33299,33338,162,164,157,28410,162,155,35362,161,33286,33298,29985,15058,28411,28404,28974,28957,0,27654,28973,189,39853,29933,28418,33300,33263,33382,28975,391,33304,391,25784,29977,310,15079,424,158,28129,39965,27554,27553,33292,33968,28161,28135,161,162,39792,312,368,32828,28007,28173,390,26686,40327,431,28176,28179,8763,28205,417,28413,28583,430,430,524,525,526,40066,30471,30467,527,526,527,526,525,526,526,526,526,528,526,441,442,28386,28384,30388,26954,33328,26952,33323,26901,33197
