snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,SG19_084_Sal,SG19_116.05_E.coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_11,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_03,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_154_S34,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_89_S8,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_D11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2018_17_S106,24333,25736,25475,25471,26228,25969,25735,25471,25733,26221,25747,29557,25474,24310,25888,29236,25783,25728,25716,9,24337,25460,25764,25788,0,25796,25860,25734,25964,25907,25778,25717,25735,25788,24310,25797,25467,24296,24303,25779,29328,25747,23234,25914,7,23227,23227,25779,25794,9,23225,25471,29214,26220,25734,29250,25470,25828,25827,25226,25747,25851,25232,25225,26213,26213,25812,26198,26213,25802,29187,24302,25230,23826,23247,24326,26216,25731,23825,25731,25925,24304,25798,25742,25750,25782,25968,29330,25885,25885,23068,23225,24167,25961,25926,25785,25784,29420,25800,25715,23355,26233,98203,25966,25730,25981,29163,25760,25968,25968,26000,26043,25747,25226,25471,25757,25757,26005,26005,26005,29181,26551,26551,25858,26006,26006,26006,26006,26005,26005,26005,26005,26006,26006,26005,25857,26005,26005,25866,25866,26608,23233,23232,25838,6
ISLHD_2018_1_S90,26066,314,22606,22602,21776,22312,313,22602,316,21771,362,31358,22605,23810,21747,31149,233,307,297,25797,26070,22583,354,238,25796,0,21715,315,22310,21123,22086,296,12020,238,23810,9,22608,23761,23803,229,31136,12034,25999,21044,25795,25982,25992,229,244,25795,25990,22602,31118,21770,314,31174,22593,21790,21789,22419,362,21702,22427,22418,22669,22669,265,21990,22669,253,31125,23767,22423,25946,26012,26061,22672,310,25945,310,22271,23804,12,12029,365,232,22314,31138,21744,21744,25877,25980,26444,22307,22272,235,234,31239,14,296,25617,21779,98439,22312,309,21214,31140,375,22316,22316,7054,22398,362,22419,22602,372,372,462,462,462,31143,23803,23803,22736,463,463,463,463,462,462,462,462,463,463,462,22735,462,462,22768,22768,23816,25998,25997,21374,25794
ISLHD_2018_2_S91,26455,21649,22801,22797,21271,22435,21648,22797,21650,21268,21660,31295,22800,23613,240,30971,21702,21642,21635,25861,26460,22778,21685,21707,25860,21715,0,21649,22432,22061,22708,21632,21953,21707,23613,21716,22793,23594,23606,21698,31069,21967,25947,22348,25859,25940,25940,21698,21713,25859,25938,22797,31004,21267,21647,30988,22784,22166,22165,23449,21660,203,23455,23448,22865,22865,21732,22276,22865,21722,31010,23600,23453,25874,25961,26449,22868,21645,25873,21645,22394,23607,21717,21962,21663,21701,22436,31071,237,237,25813,25938,26441,22429,22395,21704,21703,31226,21719,21634,25703,21276,98312,22434,21644,22150,30827,21671,22436,22436,21954,22520,21660,23449,22797,21670,21670,21919,21919,21919,31005,23945,23945,22884,21920,21920,21920,21920,21919,21919,21919,21919,21920,21920,21919,22883,21919,21919,22842,22842,23834,25946,25945,22420,25858
ISLHD_2018_3_S92,26010,3,22545,22541,21722,22244,4,22541,203,21717,303,31294,22544,23750,21681,31092,304,40,184,25735,26014,22522,295,309,25734,315,21649,0,22242,21064,22031,183,11960,309,23750,316,22547,23701,23743,300,31076,11974,25940,20993,25733,25923,25933,300,315,25733,25931,22541,31056,21716,47,31117,22532,21730,21729,22359,303,21636,22367,22358,22606,22606,336,21932,22606,324,31067,23707,22363,25880,25953,26005,22609,43,25879,43,22203,23744,317,11969,306,303,22246,31078,21678,21678,25815,25921,26381,22239,22204,306,305,31181,319,183,25556,21725,98379,22244,42,21150,31079,316,22248,22248,6993,22330,303,22359,22541,313,313,533,533,533,31085,23745,23745,22676,534,534,534,534,533,533,533,533,534,534,533,22675,533,533,22708,22708,23756,25939,25938,21311,25732
ISLHD_2018_4_S93,26166,22244,22778,22774,22667,55,22243,22774,22242,22660,22259,31428,22777,23807,22463,31084,22293,22236,22226,25965,26170,22757,22275,22298,25964,22310,22432,22242,0,21976,22796,22225,21792,22298,23807,22311,22771,23740,23800,22289,31226,21806,25938,22543,25963,25931,25931,22289,22304,25963,25929,22774,30975,22659,22244,31101,22765,22536,22535,23530,22259,22422,23536,23529,23066,23066,22326,22932,23066,22313,30981,23746,23534,26027,25949,26161,23069,22239,26026,22239,238,23801,22312,21798,22262,22290,76,31228,22458,22458,25778,25929,26473,43,241,22295,22294,31287,22314,22225,25704,22671,98328,36,22238,22651,31143,22272,68,68,22346,161,22259,23530,22774,22269,22269,22514,22514,22514,31061,23879,23879,22631,22515,22515,22515,22515,22514,22514,22514,22514,22515,22515,22514,22630,22514,22514,22637,22637,24031,25937,25936,22147,25962
ISLHD_2018_5_S94,26258,21062,22545,22541,22074,21979,21063,22541,21061,22067,21072,31178,22544,23151,22091,30849,21107,21055,21044,25908,26262,22522,21086,21114,25907,21123,22061,21064,21976,0,22254,21041,20387,21112,23151,21124,22537,23135,23144,21105,30810,20401,25825,21186,25906,25818,25818,21105,21120,25906,25816,22541,30859,22066,21062,30861,22530,22155,22154,22440,21072,22051,22448,22439,22540,22540,21139,21699,22540,21127,30680,23143,22444,26077,25838,26251,22543,21058,26078,21058,21934,23145,21125,20396,21075,21108,21980,30812,22088,22088,25810,25816,26650,21973,21935,21109,21108,30933,21127,21043,25753,22077,98176,21978,21057,21449,30668,21083,21982,21982,21524,22064,21072,22440,22541,21082,21082,21329,21329,21329,30868,23882,23882,22173,21330,21330,21330,21330,21329,21329,21329,21329,21330,21330,21329,22172,21329,21329,22140,22140,23798,25824,25823,20791,25905
ISLHD_2018_6_S95,26220,22029,22937,22933,22700,22801,22030,22933,22027,22697,22037,31119,22938,23586,22736,30977,22076,22022,22007,25779,26224,22916,22056,22081,25778,22086,22708,22031,22796,22254,0,22008,21984,22081,23586,22087,22929,23571,23577,22072,30996,21998,25785,22209,25777,25778,25778,22072,22087,25777,25776,22933,31000,22696,22027,30992,22924,22757,22756,23382,22037,22697,23390,23381,22772,22772,22106,22348,22772,22096,30868,23577,23388,26046,25798,26215,22775,22023,26045,22023,22758,23580,22088,21995,22040,22075,22800,30998,22733,22733,25753,25776,26256,22793,22759,22078,22077,30942,22090,22006,25685,22707,98217,22798,22022,22324,30660,22050,22802,22802,22364,22884,22037,23382,22933,22047,22047,22297,22297,22297,30974,23895,23895,22699,22298,22298,22298,22298,22297,22297,22297,22297,22298,22298,22297,22698,22297,22297,22681,22681,23905,25784,25783,21945,25776
ISLHD_2018_7_S96,25987,182,22526,22522,21701,22227,181,22522,52,21696,280,31274,22525,23730,21664,31070,281,173,33,25718,25991,22503,272,286,25717,296,21632,183,22225,21041,22008,0,11936,286,23730,297,22528,23681,23723,277,31052,11950,25922,20972,25716,25905,25915,277,292,25716,25913,22522,31036,21695,180,31095,22513,21707,21706,22339,280,21619,22347,22338,22582,22582,313,21908,22582,301,31045,23687,22343,25865,25935,25982,22585,176,25864,176,22186,23724,298,11945,283,280,22229,31054,21661,21661,25795,25903,26360,22222,22187,283,282,31157,300,32,25538,21704,98361,22227,175,21130,31059,293,22231,22231,6972,22313,280,22339,22522,290,290,510,510,510,31063,23725,23725,22653,511,511,511,511,510,510,510,510,511,511,510,22652,510,510,22685,22685,23732,25921,25920,21293,25715
ISLHD_2018_8_S97,26202,11959,22466,22462,21720,21794,11958,22462,11955,21715,11970,31171,22465,23724,21985,30864,12005,11952,11937,25736,26206,22443,11987,12010,25735,12020,21953,11960,21792,20387,21984,11936,0,12010,23724,12021,22458,23712,23717,12001,30997,32,25852,20698,25734,25845,25845,12001,12016,25734,25843,22462,30818,21714,11959,30879,22454,21820,21819,22740,11970,21941,22748,22739,22413,22413,12037,21859,22413,12025,30928,23718,22746,25834,25865,26197,22416,11955,25833,11955,21751,23718,12022,47,11973,12004,21796,30999,21982,21982,25789,25843,26378,21789,21752,12007,12005,30933,12024,11936,25509,21722,98220,21794,11954,21114,30917,11983,21798,21798,11832,21880,11970,22740,22462,11980,11980,12232,12232,12232,30861,23730,23730,22322,12233,12233,12233,12233,12232,12232,12232,12232,12233,12233,12232,22321,12232,12232,22361,22361,23697,25851,25850,21019,25733
ISLHD_2018_9_S98,26059,308,22601,22597,21772,22300,307,22597,306,21767,352,31350,22600,23802,21739,31142,27,299,287,25789,26063,22578,344,52,25788,238,21707,309,22298,21112,22081,286,12010,0,23802,239,22603,23753,23795,47,31130,12024,25994,21046,25787,25977,25987,47,58,25787,25985,22597,31111,21766,306,31167,22588,21778,21777,22412,352,21694,22420,22411,22662,22662,143,21980,22662,47,31118,23759,22416,25939,26007,26054,22665,302,25938,302,22259,23796,240,12019,355,50,22302,31132,21736,21736,25867,25975,26436,22295,22260,29,28,31233,242,286,25612,21775,98437,22300,301,21206,31128,365,22304,22304,7044,22386,352,22412,22597,362,362,428,428,428,31136,23796,23796,22728,429,429,429,429,428,428,428,428,429,429,428,22727,428,428,22760,22760,23804,25993,25992,21370,25786
ISLHD_2019_01,25287,23752,23852,23848,23871,23812,23751,23848,23752,23868,23759,30564,23853,4,23645,30313,23797,23744,23733,24311,25289,23829,23779,23804,24310,23810,23613,23750,23807,23151,23586,23730,23724,23802,0,23811,23844,355,17,23795,30403,23739,24676,23442,24309,24669,24669,23795,23810,24309,24667,23848,30439,23867,23752,30330,23837,23811,23810,22809,23759,23604,22817,22808,23757,23757,23828,24025,23757,23817,30305,361,22813,25029,24690,25280,23760,23747,25028,23747,23765,18,23812,23734,23762,23798,23811,30405,23642,23642,24712,24667,25450,23804,23766,23799,23798,30408,23814,23732,24842,23878,98075,23809,23746,23672,30420,23772,23813,23813,23973,23895,23759,22809,23848,23769,23769,24013,24013,24013,30319,24580,24580,23810,24014,24014,24014,24014,24013,24013,24013,24013,24014,24014,24013,23809,24013,24013,23827,23827,24924,24675,24674,23375,24308
ISLHD_2019_02,26067,315,22607,22603,21777,22313,314,22603,317,21772,363,31359,22606,23811,21748,31150,234,308,298,25798,26071,22584,355,239,25797,9,21716,316,22311,21124,22087,297,12021,239,23811,0,22609,23762,23804,230,31137,12035,26000,21045,25796,25983,25993,230,245,25796,25991,22603,31119,21771,315,31175,22594,21791,21790,22420,363,21703,22428,22419,22670,22670,266,21991,22670,254,31126,23768,22424,25947,26013,26062,22673,311,25946,311,22272,23805,13,12030,366,233,22315,31139,21745,21745,25878,25981,26445,22308,22273,236,235,31240,15,297,25618,21780,98440,22313,310,21215,31141,376,22317,22317,7055,22399,363,22420,22603,373,373,463,463,463,31144,23804,23804,22737,464,464,464,464,463,463,463,463,464,464,463,22736,463,463,22769,22769,23817,25999,25998,21375,25795
ISLHD_2019_03,26211,22549,30,26,23071,22775,22548,26,22547,23066,22559,31436,31,23844,22823,30928,22598,22540,22531,25468,26215,85,22576,22603,25467,22608,22793,22547,22771,22537,22929,22528,22458,22603,23844,22609,0,23807,23837,22594,30936,22472,25684,22707,25466,25677,25677,22594,22609,25466,25675,26,30928,23065,22547,30941,191,22905,22904,23876,22559,22780,23884,23875,23035,23035,22630,23004,23035,22618,30833,23813,23882,26099,25698,26206,23038,22543,26098,22543,22727,23838,22610,22467,22562,22597,22775,30938,22818,22818,25564,25675,26507,22768,22728,22600,22599,31090,22612,22530,25734,23076,98324,22773,22542,23116,30767,22572,22777,22777,22661,22859,22559,23876,26,22569,22569,22822,22822,22822,30948,24098,24098,23260,22823,22823,22823,22823,22822,22822,22822,22822,22823,22823,22822,23259,22822,22822,23278,23278,24154,25683,25682,22555,25465
ISLHD_2019_04,25289,23703,23815,23811,23813,23745,23702,23811,23703,23810,23710,30559,23816,355,23626,30306,23748,23695,23684,24297,25291,23792,23730,23755,24296,23761,23594,23701,23740,23135,23571,23681,23712,23753,355,23762,23807,0,348,23746,30402,23727,24676,23425,24295,24669,24669,23746,23761,24295,24667,23811,30438,23809,23703,30323,23800,23776,23775,22833,23710,23585,22841,22832,23691,23691,23779,24007,23691,23768,30303,20,22837,25036,24690,25282,23694,23698,25035,23698,23698,349,23763,23722,23713,23749,23744,30404,23623,23623,24712,24667,25462,23737,23699,23750,23749,30398,23765,23683,24855,23820,98082,23742,23697,23622,30407,23723,23746,23746,23928,23828,23710,22833,23811,23720,23720,23964,23964,23964,30306,24519,24519,23743,23965,23965,23965,23965,23964,23964,23964,23964,23965,23965,23964,23742,23964,23964,23762,23762,24914,24675,24674,23355,24294
ISLHD_2019_05,25280,23745,23845,23841,23864,23805,23744,23841,23745,23861,23752,30557,23846,17,23638,30306,23790,23737,23726,24304,25282,23822,23772,23797,24303,23803,23606,23743,23800,23144,23577,23723,23717,23795,17,23804,23837,348,0,23788,30396,23732,24669,23435,24302,24662,24662,23788,23803,24302,24660,23841,30432,23860,23745,30323,23830,23804,23803,22802,23752,23597,22810,22801,23750,23750,23821,24018,23750,23810,30298,354,22806,25022,24683,25273,23753,23740,25021,23740,23758,11,23805,23727,23755,23791,23804,30398,23635,23635,24705,24660,25443,23797,23759,23792,23791,30401,23807,23725,24835,23871,98068,23802,23739,23665,30413,23765,23806,23806,23966,23888,23752,22802,23841,23762,23762,24006,24006,24006,30312,24573,24573,23803,24007,24007,24007,24007,24006,24006,24006,24006,24007,24007,24006,23802,24006,24006,23820,23820,24917,24668,24667,23368,24301
ISLHD_2019_06,26050,299,22592,22588,21767,22291,298,22588,297,21762,343,31341,22591,23795,21730,31133,42,290,278,25780,26054,22569,335,47,25779,229,21698,300,22289,21105,22072,277,12001,47,23795,230,22594,23746,23788,0,31121,12015,25983,21037,25778,25966,25976,4,53,25778,25974,22588,31102,21761,297,31158,22579,21771,21770,22403,343,21685,22411,22402,22653,22653,134,21975,22653,62,31109,23752,22407,25930,25996,26045,22656,293,25929,293,22250,23789,231,12010,346,33,22293,31123,21727,21727,25860,25964,26427,22286,22251,44,43,31224,233,277,25603,21770,98426,22291,292,21197,31121,356,22295,22295,7035,22377,343,22403,22588,353,353,419,419,419,31127,23787,23787,22719,420,420,420,420,419,419,419,419,420,420,419,22718,419,419,22751,22751,23799,25982,25981,21361,25777
ISLHD_2019_07,28432,31076,30944,30940,30811,31232,31075,30940,31074,30806,31088,17960,30943,30403,31097,19050,31125,31066,31055,29329,28436,30923,31106,31130,29328,31136,31069,31076,31226,30810,30996,31052,30997,31130,30403,31137,30936,30402,30396,31121,0,31009,29292,30944,29327,29283,29283,31119,31136,29327,29281,30940,18971,30805,31074,19070,30927,31022,31021,30458,31088,31057,30464,30457,31300,31300,31153,30978,31300,31145,12707,30408,30464,29143,29302,28425,31303,31069,29142,31069,31191,30397,31138,31004,31091,31124,31231,2,31094,31094,29050,29281,28570,31225,31192,31127,31126,18637,31140,31054,29372,30813,97992,31230,31068,31141,19226,31101,31232,31232,31235,31309,31088,30458,30940,31098,31098,31341,31341,31341,18859,31211,31211,30911,31342,31342,31342,31342,31341,31341,31341,31341,31342,31342,31341,30910,31341,31341,30888,30888,31312,29291,29290,30906,29326
ISLHD_2019_08,26216,11973,22480,22476,21734,21808,11972,22476,11969,21729,11984,31183,22479,23739,21999,30878,12019,11966,11951,25748,26220,22457,12001,12024,25747,12034,21967,11974,21806,20401,21998,11950,32,12024,23739,12035,22472,23727,23732,12015,31009,0,25866,20712,25746,25859,25859,12015,12030,25746,25857,22476,30832,21728,11973,30893,22468,21834,21833,22752,11984,21955,22760,22751,22427,22427,12051,21873,22427,12039,30942,23733,22758,25848,25879,26211,22430,11969,25847,11969,21765,23733,12036,61,11987,12018,21810,31011,21996,21996,25803,25857,26390,21803,21766,12021,12019,30945,12038,11950,25523,21736,98231,21808,11968,21128,30931,11997,21812,21812,11846,21894,11984,22752,22476,11994,11994,12246,12246,12246,30875,23744,23744,22336,12247,12247,12247,12247,12246,12246,12246,12246,12247,12247,12246,22335,12246,12246,22375,22375,23711,25865,25864,21033,25745
ISLHD_2019_09,23678,25938,25692,25688,26319,25943,25939,25688,25941,26314,25954,29611,25691,24676,25973,29507,25989,25933,25923,23235,23684,25669,25969,25994,23234,25999,25947,25940,25938,25825,25785,25922,25852,25994,24676,26000,25684,24676,24669,25983,29292,25866,0,25995,23233,53,29,25983,26000,23233,51,25688,29371,26313,25940,29524,25674,26097,26096,25407,25954,25935,25415,25406,26362,26362,26019,26159,26362,26009,29194,24680,25413,23020,74,23673,26365,25936,23019,25936,25899,24670,26001,25859,25957,25988,25940,29294,25970,25970,22643,51,23895,25935,25900,25991,25990,29368,26003,25922,22073,26324,98345,25940,25935,26077,29172,25967,25944,25944,26119,26022,25954,25407,25688,25964,25964,26211,26211,26211,29403,26425,26425,25846,26212,26212,26212,26212,26211,26211,26211,26211,26212,26212,26211,25845,26211,26211,25834,25834,26670,7,44,25845,23232
ISLHD_2019_10,26314,20991,22714,22710,22168,22548,20992,22710,20994,22163,21004,31270,22715,23442,22379,30859,21041,20984,20973,25915,26316,22691,21021,21046,25914,21044,22348,20993,22543,21186,22209,20972,20698,21046,23442,21045,22707,23425,23435,21037,30944,20712,25995,0,25913,25990,25990,21037,21052,25913,25988,22710,30896,22162,20991,30873,22700,22170,22169,22678,21004,22338,22684,22677,22497,22497,21073,21250,22497,21061,30810,23431,22684,26130,26008,26307,22500,20987,26129,20987,22502,23436,21046,20707,21007,21040,22547,30946,22376,22376,25624,25988,26311,22540,22503,21043,21042,30995,21048,20972,25672,22173,97893,22545,20986,21851,30815,21017,22547,22547,21017,22631,21004,22678,22710,21014,21014,21257,21257,21257,30863,23705,23705,21948,21258,21258,21258,21258,21257,21257,21257,21257,21258,21258,21257,21947,21257,21257,21959,21959,23681,25994,25993,21438,25912
ISLHD_2019_11,24332,25735,25474,25470,26227,25968,25734,25470,25732,26220,25746,29556,25473,24309,25887,29235,25782,25727,25715,4,24336,25459,25763,25787,7,25795,25859,25733,25963,25906,25777,25716,25734,25787,24309,25796,25466,24295,24302,25778,29327,25746,23233,25913,0,23226,23226,25778,25793,8,23224,25470,29213,26219,25733,29249,25469,25827,25826,25225,25746,25850,25231,25224,26212,26212,25811,26197,26212,25801,29186,24301,25229,23825,23246,24325,26215,25730,23824,25730,25924,24303,25797,25741,25749,25781,25967,29329,25884,25884,23067,23224,24166,25960,25925,25784,25783,29419,25799,25714,23354,26232,98202,25965,25729,25980,29162,25759,25967,25967,25999,26042,25746,25225,25470,25756,25756,26004,26004,26004,29180,26550,26550,25857,26005,26005,26005,26005,26004,26004,26004,26004,26005,26005,26004,25856,26004,26004,25865,25865,26607,23232,23231,25837,5
ISLHD_2019_12,23671,25921,25675,25671,26312,25936,25922,25671,25924,26307,25937,29604,25674,24669,25968,29494,25972,25916,25906,23228,23677,25652,25962,25977,23227,25982,25940,25923,25931,25818,25778,25905,25845,25977,24669,25983,25677,24669,24662,25966,29283,25859,53,25990,23226,0,42,25966,25983,23226,40,25671,29362,26306,25923,29521,25657,26090,26089,25400,25937,25928,25408,25399,26355,26355,26002,26152,26355,25992,29187,24673,25406,23015,63,23666,26358,25919,23014,25919,25892,24663,25984,25852,25940,25971,25933,29285,25965,25965,22636,2,23888,25928,25893,25974,25973,29359,25986,25905,22080,26317,98326,25933,25918,26070,29153,25950,25937,25937,26114,26015,25937,25400,25671,25947,25947,26194,26194,26194,29400,26418,26418,25839,26195,26195,26195,26195,26194,26194,26194,26194,26195,26195,26194,25838,26194,26194,25827,25827,26663,52,51,25838,23225
ISLHD_2019_13,23671,25931,25685,25681,26312,25936,25932,25681,25934,26307,25947,29602,25684,24669,25968,29502,25982,25926,25916,23228,23677,25662,25962,25987,23227,25992,25940,25933,25931,25818,25778,25915,25845,25987,24669,25993,25677,24669,24662,25976,29283,25859,29,25990,23226,42,0,25976,25993,23226,40,25681,29362,26306,25933,29519,25667,26090,26089,25400,25947,25928,25408,25399,26355,26355,26012,26152,26355,26002,29187,24673,25406,23015,63,23666,26358,25929,23014,25929,25892,24663,25994,25852,25950,25981,25933,29285,25965,25965,22636,40,23888,25928,25893,25984,25983,29359,25996,25915,22080,26317,98338,25933,25928,26070,29163,25960,25937,25937,26114,26015,25947,25400,25681,25957,25957,26204,26204,26204,29398,26418,26418,25839,26205,26205,26205,26205,26204,26204,26204,26204,26205,26205,26204,25838,26204,26204,25827,25827,26663,28,51,25838,23225
ISLHD_2019_14,26050,299,22592,22588,21767,22291,298,22588,297,21762,343,31339,22591,23795,21730,31131,42,290,278,25780,26054,22569,335,47,25779,229,21698,300,22289,21105,22072,277,12001,47,23795,230,22594,23746,23788,4,31119,12015,25983,21037,25778,25966,25976,0,53,25778,25974,22588,31100,21761,297,31156,22579,21771,21770,22403,343,21685,22411,22402,22653,22653,134,21975,22653,62,31107,23752,22407,25930,25996,26045,22656,293,25929,293,22250,23789,231,12010,346,33,22293,31121,21727,21727,25860,25964,26427,22286,22251,44,43,31222,233,277,25603,21770,98424,22291,292,21197,31119,356,22295,22295,7035,22377,343,22403,22588,353,353,419,419,419,31125,23787,23787,22719,420,420,420,420,419,419,419,419,420,420,419,22718,419,419,22751,22751,23799,25982,25981,21361,25777
ISLHD_2019_15,26065,314,22607,22603,21782,22306,313,22603,312,21777,358,31356,22606,23810,21745,31148,53,305,293,25795,26069,22584,350,10,25794,244,21713,315,22304,21120,22087,292,12016,58,23810,245,22609,23761,23803,53,31136,12030,26000,21052,25793,25983,25993,53,0,25793,25991,22603,31117,21776,312,31173,22594,21786,21785,22418,358,21700,22426,22417,22668,22668,149,21990,22668,73,31122,23767,22422,25945,26013,26060,22671,308,25944,308,22265,23804,246,12025,361,56,22308,31138,21742,21742,25875,25981,26442,22301,22266,55,54,31237,248,292,25618,21785,98445,22306,307,21212,31136,371,22310,22310,7050,22392,358,22418,22603,368,368,434,434,434,31142,23802,23802,22734,435,435,435,435,434,434,434,434,435,435,434,22733,434,434,22766,22766,23814,25999,25998,21376,25792
ISLHD_2019_16,24332,25735,25474,25470,26227,25968,25734,25470,25732,26220,25746,29556,25473,24309,25887,29235,25782,25727,25715,10,24336,25459,25763,25787,9,25795,25859,25733,25963,25906,25777,25716,25734,25787,24309,25796,25466,24295,24302,25778,29327,25746,23233,25913,8,23226,23226,25778,25793,0,23224,25470,29213,26219,25733,29249,25469,25827,25826,25225,25746,25850,25231,25224,26212,26212,25811,26197,26212,25801,29186,24301,25229,23825,23246,24325,26215,25730,23824,25730,25924,24303,25797,25741,25749,25781,25967,29329,25884,25884,23067,23224,24166,25960,25925,25784,25783,29419,25799,25714,23354,26232,98202,25965,25729,25980,29162,25759,25967,25967,25999,26042,25746,25225,25470,25756,25756,26004,26004,26004,29180,26550,26550,25857,26005,26005,26005,26005,26004,26004,26004,26004,26005,26005,26004,25856,26004,26004,25865,25865,26607,23232,23231,25837,7
ISLHD_2019_17,23669,25929,25683,25679,26310,25934,25930,25679,25932,26305,25945,29602,25682,24667,25966,29502,25980,25924,25914,23226,23675,25660,25960,25985,23225,25990,25938,25931,25929,25816,25776,25913,25843,25985,24667,25991,25675,24667,24660,25974,29281,25857,51,25988,23224,40,40,25974,25991,23224,0,25679,29360,26304,25931,29519,25665,26088,26087,25398,25945,25926,25406,25397,26353,26353,26010,26150,26353,26000,29185,24671,25404,23011,61,23664,26356,25927,23010,25927,25890,24661,25992,25850,25948,25979,25931,29283,25963,25963,22634,38,23886,25926,25891,25982,25981,29357,25994,25913,22078,26315,98324,25931,25926,26068,29161,25958,25935,25935,26112,26013,25945,25398,25679,25955,25955,26202,26202,26202,29398,26416,26416,25837,26203,26203,26203,26203,26202,26202,26202,26202,26203,26203,26202,25836,26202,26202,25825,25825,26661,50,21,25836,23223
ISLHD_2019_18,26215,22543,4,0,23075,22778,22542,4,22541,23070,22553,31440,9,23848,22827,30922,22592,22534,22525,25472,26219,75,22580,22597,25471,22602,22797,22541,22774,22541,22933,22522,22462,22597,23848,22603,26,23811,23841,22588,30940,22476,25688,22710,25470,25671,25681,22588,22603,25470,25679,0,30932,23069,22541,30945,181,22909,22908,23879,22553,22784,23887,23878,23039,23039,22624,23008,23039,22612,30837,23817,23885,26103,25702,26210,23042,22537,26102,22537,22730,23842,22604,22471,22556,22591,22778,30942,22822,22822,25568,25669,26511,22771,22731,22594,22593,31094,22606,22524,25736,23080,98320,22776,22536,23120,30759,22566,22780,22780,22665,22862,22553,23879,4,22563,22563,22816,22816,22816,30952,24101,24101,23264,22817,22817,22817,22817,22816,22816,22816,22816,22817,22817,22816,23263,22816,22816,23282,23282,24158,25687,25686,22559,25469
